Month,usg_apt,fg_apt,carrier,type,Total
6,EWR,SAL,UA,Passengers,122
6,EWR,STI,B6,Passengers,124
6,HNL,MAJ,UA,Passengers,126
6,FLL,PLS,B6,Passengers,133
6,LAX,YVR,WS,Passengers,145
6,IAH,JED,SV,Passengers,149
6,EWR,YUL,QK,Passengers,151
6,JFK,UVF,B6,Passengers,157
6,PHL,PLS,NK,Passengers,160
6,SJU,PLS,NK,Passengers,160
6,ATL,YYC,WS,Passengers,169
6,DFW,CUN,NK,Passengers,170
6,ORD,CUN,NK,Passengers,171
6,IAD,DMM,SV,Passengers,179
6,LAX,KIX,JL,Passengers,183
6,MIA,LHR,BA,Passengers,183
6,GUM,ICN,KE,Passengers,193
6,LAX,BGI,PR,Passengers,193
6,DTW,YOW,9E,Passengers,197
6,BOS,SDQ,B6,Passengers,204
6,GUM,TKK,UA,Passengers,205
6,BOS,YUL,QK,Passengers,215
6,ORD,SJD,AA,Passengers,220
6,CLT,CZM,AA,Passengers,232
6,LAX,MEL,QF,Passengers,234
6,JFK,PEK,CA,Passengers,236
6,CLT,SJD,AA,Passengers,237
6,LAX,PVR,DL,Passengers,242
6,IAD,PEK,CA,Passengers,256
6,LAX,YYC,WS,Passengers,261
6,IAH,PEK,CA,Passengers,261
6,IAH,GDL,YV,Passengers,268
6,FLL,SJO,NK,Passengers,269
6,JFK,AUH,EY,Passengers,281
6,ORD,YUL,KV,Passengers,281
6,MIA,KIN,BW,Passengers,294
6,EWR,YYZ,QK,Passengers,295
6,FLL,SDQ,NK,Passengers,313
6,MCO,CUN,B6,Passengers,324
6,FLL,KIN,B6,Passengers,445
6,IAH,RUH,SV,Passengers,345
6,IAH,CUN,NK,Passengers,351
6,IAH,PTY,UA,Passengers,356
6,FLL,NAS,B6,Passengers,393
6,IAD,GUA,UA,Passengers,404
6,IAH,PVR,UA,Passengers,414
6,IAH,YYZ,KV,Passengers,424
6,ORD,AUH,EY,Passengers,426
6,FLL,PTY,NK,Passengers,442
6,LAX,SJD,DL,Passengers,448
6,GUM,MNL,PR,Passengers,463
6,IAD,SAL,UA,Passengers,467
6,FLL,CUN,NK,Passengers,470
6,IAH,BZE,UA,Passengers,477
6,SFO,HKG,CX,Passengers,485
6,MSP,YWG,OO,Passengers,496
6,SFO,CEB,PR,Passengers,499
6,LAX,BNE,VA,Passengers,503
6,MIA,GCM,KX,Passengers,505
6,JFK,DSS,DL,Passengers,522
6,SEA,YVR,QK,Passengers,524
6,ORD,CDG,AF,Passengers,545
6,LAX,TLV,LY,Passengers,552
6,ORD,TPE,BR,Passengers,563
6,FLL,YUL,AC,Passengers,566
6,JFK,LHR,AA,Passengers,574
6,JFK,MAD,IB,Passengers,577
6,FLL,PAP,NK,Passengers,578
6,DTW,YUL,9E,Passengers,588
6,FLL,SDQ,B6,Passengers,708
6,MSP,YYC,OO,Passengers,609
6,ORD,YUL,AC,Passengers,611
6,EWR,MBJ,UA,Passengers,619
6,LAX,SAL,UA,Passengers,623
6,LAX,GUA,UA,Passengers,633
6,ORD,CPH,SK,Passengers,633
6,LAX,MZT,AS,Passengers,644
6,FLL,YYZ,AC,Passengers,664
6,BOS,KEF,FI,Passengers,674
6,SFO,TPE,CI,Passengers,692
6,LAX,ZIH,AS,Passengers,709
6,DFW,TRC,MQ,Passengers,711
6,IAH,TPE,BR,Passengers,715
6,LAX,LTO,AS,Passengers,716
6,HNL,MNL,PR,Passengers,732
6,JFK,PAP,B6,Passengers,736
6,MSP,YEG,OO,Passengers,747
6,LAX,ZLO,AS,Passengers,757
6,EWR,STI,UA,Passengers,766
6,ORD,HND,JL,Passengers,788
6,ORD,AMM,RJ,Passengers,803
6,MCO,MEX,AM,Passengers,822
6,JFK,AMM,RJ,Passengers,842
6,ATL,KIN,DL,Passengers,856
6,EWR,SDQ,UA,Passengers,863
6,ORD,YYZ,KV,Passengers,883
6,PHX,MZT,OO,Passengers,884
6,SFO,PVR,AS,Passengers,894
6,MDW,ZCL,Y4,Passengers,895
6,SFO,YYZ,AC,Passengers,896
6,ORD,JED,SV,Passengers,900
6,MIA,MAD,IB,Passengers,901
6,JFK,JED,SV,Passengers,902
6,JFK,MNL,PR,Passengers,907
6,EWR,CDG,UA,Passengers,912
6,SAT,MEX,5D,Passengers,927
6,IAH,UIO,UA,Passengers,930
6,SFO,MUC,LH,Passengers,940
6,DTW,LHR,DL,Passengers,958
6,DTW,YYZ,9E,Passengers,989
6,FLL,SAP,NK,Passengers,991
6,FLL,CTG,NK,Passengers,995
6,PHX,HMO,OO,Passengers,1022
6,BOS,YYZ,KV,Passengers,1032
6,EWR,NRT,UA,Passengers,1034
6,MIA,MEX,5D,Passengers,1035
6,SEA,TPE,BR,Passengers,1041
6,JFK,IST,TK,Passengers,1046
6,JFK,TAS,HY,Passengers,1050
6,MIA,MID,YX,Passengers,1053
6,JFK,YYZ,9E,Passengers,1061
6,IAH,BJX,YV,Passengers,1076
6,JFK,NRT,NH,Passengers,1078
6,IAD,YYZ,KV,Passengers,1117
6,IAH,PVR,YV,Passengers,1123
6,EWR,CPH,SK,Passengers,1125
6,GUM,NRT,UA,Passengers,1125
6,JFK,RUH,SV,Passengers,1129
6,MIA,BOG,VH,Passengers,1135
6,LAX,SIN,SQ,Passengers,1145
6,FLL,PAP,B6,Passengers,1160
6,ATL,CUN,DL,Passengers,1189
6,LAX,HND,JL,Passengers,1218
6,DFW,MBJ,AA,Passengers,1220
6,PHL,YYZ,PT,Passengers,1222
6,DTW,MEX,DL,Passengers,1227
6,ORD,YYZ,AC,Passengers,1242
6,FLL,MBJ,B6,Passengers,1244
6,BOS,DUB,EI,Passengers,1259
6,JFK,CDG,DL,Passengers,1308
6,PHL,CUN,AA,Passengers,1320
6,DFW,DGO,MQ,Passengers,1330
6,JFK,TPE,BR,Passengers,1331
6,DFW,CZM,AA,Passengers,1349
6,FLL,CLO,NK,Passengers,1358
6,JFK,TLV,LY,Passengers,1360
6,SJU,SDQ,B6,Passengers,1361
6,SFO,LHR,BA,Passengers,1366
6,JFK,CUN,B6,Passengers,1371
6,DFW,CUU,OO,Passengers,1379
6,FLL,MDE,NK,Passengers,1382
6,ONT,GDL,Y4,Passengers,1400
6,IAH,SAP,UA,Passengers,1408
6,ATL,LHR,DL,Passengers,1424
6,LAX,CEB,PR,Passengers,1430
6,DEN,GDL,Y4,Passengers,1450
6,MIA,IST,TK,Passengers,1493
6,EWR,ADD,ET,Passengers,1495
6,FLL,GYE,B6,Passengers,1507
6,MIA,EZE,AR,Passengers,1510
6,PHL,YUL,OH,Passengers,1517
6,ORD,LHR,BA,Passengers,1529
6,IAH,TGU,UA,Passengers,1546
6,MIA,GRU,LA,Passengers,1575
6,SFO,NRT,NH,Passengers,1599
6,LAX,JED,SV,Passengers,1612
6,LAX,TPE,CI,Passengers,1637
6,IAH,SJD,UA,Passengers,1663
6,LAX,IST,TK,Passengers,1668
6,ORD,ZRH,LX,Passengers,1700
6,ORD,LHR,AA,Passengers,1705
6,DFW,CDG,AA,Passengers,1738
6,DFW,SLP,MQ,Passengers,1756
6,JFK,ZRH,LX,Passengers,1769
6,ORD,DUB,EI,Passengers,1792
6,SEA,YVR,QX,Passengers,1805
6,FLL,BOG,NK,Passengers,1810
6,LAX,TPE,BR,Passengers,1817
6,IAD,LHR,BA,Passengers,1832
6,CLT,YUL,OH,Passengers,1853
6,DFW,MLM,MQ,Passengers,1883
6,SEA,ICN,KE,Passengers,1901
6,ORD,YYZ,OO,Passengers,1930
6,ATL,MBJ,DL,Passengers,1938
6,IAH,MEX,5D,Passengers,1939
6,CLT,YYZ,AA,Passengers,1957
6,IAD,ICN,KE,Passengers,1965
6,ATL,FRA,DL,Passengers,1969
6,MDW,MLM,Y4,Passengers,1972
6,SEA,ICN,OZ,Passengers,1986
6,ORD,CUN,AA,Passengers,1992
6,JFK,FCO,AZ,Passengers,2005
6,PHX,SJD,AA,Passengers,2064
6,JFK,AMS,DL,Passengers,2081
6,ORD,AMS,KL,Passengers,2089
6,DTW,YYZ,DL,Passengers,2090
6,JFK,MBJ,B6,Passengers,2172
6,IAH,MTY,YV,Passengers,2174
6,LAX,XMN,MF,Passengers,2191
6,CLT,YYZ,OH,Passengers,2195
6,LAX,PVR,AA,Passengers,2206
6,SFO,TPE,BR,Passengers,2232
6,BOS,LHR,BA,Passengers,2284
6,JFK,CAI,MS,Passengers,2297
6,LAX,MEX,AA,Passengers,2306
6,DFW,YYZ,AA,Passengers,2337
6,JFK,KIN,B6,Passengers,2911
6,DFW,AMS,AA,Passengers,2350
6,PHX,GDL,YV,Passengers,2356
6,JFK,PVG,MU,Passengers,2367
6,IAD,JED,SV,Passengers,2385
6,LAX,MUC,LH,Passengers,2413
6,IAD,IST,TK,Passengers,2449
6,DFW,CUN,SY,Passengers,2451
6,SFO,MNL,PR,Passengers,2494
6,IAH,GUA,UA,Passengers,2500
6,MDW,GDL,Y4,Passengers,2527
6,IAH,CUN,UA,Passengers,2556
6,SFO,YVR,AC,Passengers,2561
6,DFW,NRT,AA,Passengers,2564
6,IAH,SJO,UA,Passengers,2631
6,SEA,YVR,OO,Passengers,2644
6,IAD,RUH,SV,Passengers,2647
6,FLL,GYE,NK,Passengers,2654
6,LGA,YYZ,AC,Passengers,2660
6,IAH,GDL,Y4,Passengers,2704
6,IAH,BJX,UA,Passengers,2715
6,LAX,GDL,AM,Passengers,2717
6,SFO,ICN,OZ,Passengers,2718
6,DFW,QRO,MQ,Passengers,2740
6,DFW,YVR,AA,Passengers,2750
6,JFK,SVO,SU,Passengers,2776
6,JFK,DXB,EK,Passengers,2778
6,LAX,PEK,CA,Passengers,2796
6,JFK,TLV,DL,Passengers,2835
6,ATL,CDG,AF,Passengers,2845
6,JFK,DUB,EI,Passengers,2856
6,DFW,YYC,MQ,Passengers,2862
6,SFO,ICN,KE,Passengers,2868
6,DFW,AGU,MQ,Passengers,2915
6,LAX,MNL,PR,Passengers,2924
6,DFW,MTY,MQ,Passengers,2930
6,EWR,LIS,TP,Passengers,2959
6,EWR,ZRH,LX,Passengers,3002
6,LAX,HKG,CX,Passengers,3004
6,ORD,LHR,UA,Passengers,3023
6,SAN,SJD,AS,Passengers,3057
6,SEA,ICN,DL,Passengers,3060
6,SLC,MEX,DL,Passengers,3072
6,JFK,SDQ,B6,Passengers,3318
6,LAX,YVR,AC,Passengers,3097
6,ORD,ADD,ET,Passengers,3102
6,LAX,MEX,AM,Passengers,3136
6,SEA,HND,DL,Passengers,3143
6,LAX,SJD,AA,Passengers,3147
6,SJC,GDL,Y4,Passengers,3173
6,ORD,IST,TK,Passengers,3177
6,IAH,SAL,UA,Passengers,3197
6,SFO,FRA,UA,Passengers,3206
6,ORD,MUC,LH,Passengers,3231
6,LAX,NRT,NH,Passengers,3262
6,LAX,CAN,CZ,Passengers,3265
6,ORD,ICN,KE,Passengers,3287
6,CLT,MBJ,AA,Passengers,3330
6,EWR,FRA,LH,Passengers,3344
6,ATL,AMS,KL,Passengers,3380
6,DFW,BJX,MQ,Passengers,3486
6,LAX,AKL,NZ,Passengers,3564
6,EWR,LHR,UA,Passengers,3578
6,MIA,MBJ,AA,Passengers,3627
6,EWR,AMS,UA,Passengers,3658
6,JFK,STI,B6,Passengers,4397
6,JFK,BEG,JU,Passengers,3695
6,EWR,BOM,AI,Passengers,3719
6,SEA,GDL,Y4,Passengers,3728
6,SFO,SYD,UA,Passengers,3729
6,DFW,MAD,AA,Passengers,3737
6,MIA,UIO,AA,Passengers,3767
6,LAX,LHR,BA,Passengers,3779
6,IAD,DEL,AI,Passengers,3779
6,IAH,MTY,VB,Passengers,3832
6,LAX,SJD,AS,Passengers,3850
6,DFW,FRA,AA,Passengers,3965
6,ORD,MEX,AM,Passengers,3975
6,MIA,SCL,LA,Passengers,4006
6,JFK,DOH,QR,Passengers,4008
6,PDX,GDL,Y4,Passengers,4058
6,CLT,MEX,AA,Passengers,4115
6,JFK,MEX,AM,Passengers,4122
6,DFW,PVR,AA,Passengers,4194
6,MIA,KIN,AA,Passengers,4207
6,CLT,CUN,AA,Passengers,4283
6,ORD,NRT,NH,Passengers,4296
6,JFK,LHR,BA,Passengers,4339
6,ATL,CDG,DL,Passengers,4404
6,LAX,CDG,AF,Passengers,4417
6,IAD,ADD,ET,Passengers,4460
6,JFK,ICN,OZ,Passengers,4474
6,DFW,LHR,AA,Passengers,4521
6,SFO,NRT,UA,Passengers,4612
6,MIA,LHR,AA,Passengers,4604
6,IAH,GDL,UA,Passengers,4609
6,LAX,PVR,AS,Passengers,4626
6,ORD,FRA,LH,Passengers,4719
6,MIA,ANU,AA,Passengers,4729
6,JFK,ICN,KE,Passengers,4826
6,MIA,GYE,AA,Passengers,4876
6,DTW,ICN,DL,Passengers,4893
6,JFK,DEL,AI,Passengers,5306
6,DFW,SJD,AA,Passengers,5468
6,FAT,GDL,Y4,Passengers,5470
6,IAH,GRU,UA,Passengers,5524
6,ATL,ICN,KE,Passengers,5610
6,LAX,GDL,AS,Passengers,5738
6,DFW,GDL,AA,Passengers,5935
6,LAX,ICN,OZ,Passengers,5982
6,LAX,GDL,VB,Passengers,6059
6,JFK,CDG,AF,Passengers,6084
6,DTW,AMS,DL,Passengers,6211
6,ATL,MEX,DL,Passengers,6497
6,SMF,GDL,Y4,Passengers,6680
6,DFW,MEX,AA,Passengers,6714
6,LAX,ICN,KE,Passengers,6950
6,LAX,AMS,KL,Passengers,6962
6,EWR,FRA,UA,Passengers,7324
6,JFK,AMS,KL,Passengers,7860
6,MIA,CUN,AA,Passengers,8039
6,EWR,TLV,UA,Passengers,8405
6,ORD,DOH,QR,Passengers,8886
6,ATL,AMS,DL,Passengers,9142
6,ORD,GDL,Y4,Passengers,9490
6,IAH,MEX,UA,Passengers,9518
6,SFO,DEL,AI,Passengers,9750
6,MIA,MEX,AA,Passengers,10547
6,OAK,GDL,Y4,Passengers,11082
6,IAD,FRA,UA,Passengers,11124
6,DFW,CUN,AA,Passengers,12836
6,ORD,DEL,AI,Passengers,13428
6,LAX,GDL,Y4,Passengers,17284
5,TEB,SNN,LF,Passengers,3
5,SJU,SKB,3M,Passengers,27
5,SJU,BGI,3M,Passengers,114
5,SFO,FAB,LF,Passengers,2
5,SFO,DEL,UA,Passengers,421
5,SFB,MBJ,G4,Passengers,306
5,ORF,SOF,X9,Passengers,227
5,ORD,WAW,LO,Passengers,1234
5,OAK,FAB,LF,Passengers,2
5,MIA,UIO,XL,Passengers,354
5,MIA,POS,WL,Passengers,86
5,MIA,PBM,SY,Passengers,124
5,MIA,MAD,E9,Passengers,260
5,MIA,LIM,LP,Passengers,1529
5,MIA,HAV,WL,Passengers,272
5,MIA,HAV,DL,Passengers,686
5,MIA,GYE,XL,Passengers,97
5,MIA,GYE,WL,Passengers,117
5,MIA,GRU,LA,Passengers,83
5,MIA,GCM,WL,Passengers,142
5,MIA,EZE,4M,Passengers,440
5,MIA,DPS,EB,Passengers,596
5,MIA,CUR,WL,Passengers,80
5,LAX,DPS,UX,Passengers,175
5,JFK,WAW,LO,Passengers,922
5,JFK,UIO,XL,Passengers,398
5,JFK,LIM,LP,Passengers,231
5,JFK,KIV,LO,Passengers,294
5,JFK,GYE,XL,Passengers,427
5,IAH,MBJ,UA,Passengers,103
5,IAH,GEO,X9,Passengers,491
5,IAH,CME,5D,Passengers,133
5,IAD,SOF,X9,Passengers,609
5,IAD,RMS,X9,Passengers,40
5,IAD,OAI,EB,Passengers,233
5,IAD,LPA,X9,Passengers,313
5,IAD,JNB,SA,Passengers,1510
5,IAD,DUB,X9,Passengers,621
5,IAD,BBU,X9,Passengers,348
5,IAD,ACC,X9,Passengers,301
5,FOK,LTN,LF,Passengers,10
5,ATL,BDA,DL,Passengers,196
5,ANC,TSN,X9,Passengers,119
5,AEX,SOF,X9,Passengers,435
5,GUM,KWA,UA,Passengers,1
5,GUM,PNI,UA,Passengers,1
5,IAH,JED,SV,Passengers,1
5,LRD,TRC,MQ,Passengers,5
5,SPN,ICN,OZ,Passengers,6
5,CLT,CZM,AA,Passengers,6
5,PPG,APW,PH,Passengers,9
5,ORD,YYZ,AA,Passengers,10
5,SFO,CAN,CZ,Passengers,10
5,RSW,MEX,AA,Passengers,14
5,GUM,YAP,UA,Passengers,14
5,BOS,CDG,DL,Passengers,15
5,CLT,SJD,AA,Passengers,15
5,FAI,YXY,DL,Passengers,18
5,SEA,YXY,DL,Passengers,18
5,AUS,SLP,YV,Passengers,21
5,CRP,BJX,YV,Passengers,25
5,IAH,IST,TK,Passengers,28
5,GUM,KSA,UA,Passengers,30
5,FLL,FPO,3M,Passengers,30
5,LAX,WLG,NZ,Passengers,31
5,BOS,PUJ,B6,Passengers,45
5,GUM,ROR,UA,Passengers,46
5,ORD,ADD,ET,Passengers,50
5,JFK,UVF,B6,Passengers,56
5,DFW,ZCL,MQ,Passengers,57
5,ORD,PVR,AA,Passengers,60
5,MIA,IST,TK,Passengers,62
5,GUM,TKK,UA,Passengers,63
5,EWR,MBJ,UA,Passengers,65
5,ORD,IST,TK,Passengers,65
5,LAX,NRT,AA,Passengers,67
5,PHX,PVR,AA,Passengers,70
5,JFK,SDQ,DL,Passengers,74
5,JFK,IST,TK,Passengers,79
5,MIA,MID,YX,Passengers,80
5,IAH,TLV,LY,Passengers,80
5,DFW,MZT,AA,Passengers,84
5,DFW,CUN,SY,Passengers,85
5,DFW,CUU,MQ,Passengers,86
5,JFK,PUJ,B6,Passengers,90
5,EWR,AUA,UA,Passengers,91
5,ORD,YYZ,KV,Passengers,98
5,MIA,LHR,BA,Passengers,100
5,MIA,PBM,PY,Passengers,108
5,FLL,AUA,NK,Passengers,108
5,HNL,MAJ,UA,Passengers,109
5,SJU,PUJ,B6,Passengers,113
5,ORD,YYZ,AC,Passengers,116
5,LAX,BNE,QF,Passengers,122
5,ATL,SXM,DL,Passengers,123
5,EWR,STI,UA,Passengers,124
5,FLL,PAP,B6,Passengers,125
5,LAX,TLV,LY,Passengers,129
5,EWR,SDQ,UA,Passengers,134
5,MCO,CUN,B6,Passengers,137
5,SAT,PTY,UA,Passengers,145
5,SLC,MEX,DL,Passengers,147
5,MSP,YWG,OO,Passengers,150
5,DFW,CZM,AA,Passengers,154
5,IAD,MED,SV,Passengers,154
5,FLL,PAP,NK,Passengers,160
5,DTW,YOW,9E,Passengers,166
5,ORD,CUN,AA,Passengers,167
5,PHL,CUN,AA,Passengers,172
5,MIA,MDE,VH,Passengers,174
5,JFK,KIN,B6,Passengers,179
5,BOS,RAI,VR,Passengers,180
5,FLL,SDQ,NK,Passengers,181
5,JFK,FOC,MF,Passengers,183
5,MCO,BOG,VH,Passengers,185
5,PHL,YUL,PT,Passengers,188
5,ORD,JED,SV,Passengers,193
5,ORD,AUH,EY,Passengers,196
5,IAD,PEK,CA,Passengers,198
5,JFK,RUH,SV,Passengers,198
5,JFK,MNL,PR,Passengers,200
5,FLL,NAS,B6,Passengers,203
5,SFO,KMG,CZ,Passengers,204
5,SFO,CGO,CZ,Passengers,204
5,JFK,PLS,B6,Passengers,204
5,SFO,SJW,CZ,Passengers,204
5,JFK,XMN,MF,Passengers,219
5,SFO,BOM,AI,Passengers,225
5,JFK,TLV,LY,Passengers,230
5,IAH,PEK,CA,Passengers,235
5,IAD,YYZ,KV,Passengers,235
5,MIA,MAD,IB,Passengers,235
5,LAX,PVG,MU,Passengers,239
5,DTW,HND,DL,Passengers,243
5,MIA,EZE,AR,Passengers,262
5,SFO,SHE,CZ,Passengers,271
5,JFK,CSX,CZ,Passengers,272
5,SFO,TAO,CZ,Passengers,272
5,DTW,LHR,DL,Passengers,281
5,LAX,SVO,SU,Passengers,287
5,MIA,VAS,TK,Passengers,288
5,MIA,GCM,KX,Passengers,289
5,ORD,AYT,TK,Passengers,290
5,ORD,YUL,OO,Passengers,290
5,FLL,GYE,NK,Passengers,291
5,CLT,YYZ,AA,Passengers,303
5,LAX,WUH,CZ,Passengers,310
5,IAD,DMM,SV,Passengers,313
5,PHX,MZT,OO,Passengers,327
5,GUM,MNL,PR,Passengers,328
5,JFK,AUH,EY,Passengers,333
5,ORD,BOM,AI,Passengers,334
5,ATL,EZE,DL,Passengers,343
5,PHX,HMO,OO,Passengers,345
5,LGA,YYZ,AC,Passengers,349
5,BOS,KEF,FI,Passengers,354
5,DFW,YYC,AA,Passengers,366
5,DFW,YYZ,AA,Passengers,367
5,PHL,YOW,PT,Passengers,368
5,PHX,SJD,AA,Passengers,370
5,LAX,SJD,AA,Passengers,372
5,ORD,HND,JL,Passengers,377
5,JFK,CUN,B6,Passengers,385
5,IAH,RUH,SV,Passengers,385
5,MSP,YYC,OO,Passengers,390
5,LAX,BNE,VA,Passengers,391
5,JFK,JED,SV,Passengers,393
5,DFW,TRC,MQ,Passengers,409
5,DTW,YUL,9E,Passengers,410
5,MSP,YEG,OO,Passengers,414
5,IAH,TPE,BR,Passengers,421
5,SFO,MNL,PR,Passengers,422
5,LAX,PVR,AA,Passengers,427
5,FLL,CTG,NK,Passengers,434
5,FLL,CLO,NK,Passengers,439
5,LAX,MEL,QF,Passengers,450
5,FLL,PTY,NK,Passengers,460
5,IAH,BZE,UA,Passengers,473
5,SFO,YVR,AC,Passengers,478
5,ATL,FRA,DL,Passengers,490
5,LAX,MEX,AA,Passengers,506
5,GUM,NRT,UA,Passengers,518
5,JFK,FCO,AZ,Passengers,534
5,DTW,YYZ,9E,Passengers,555
5,CLT,CUN,AA,Passengers,567
5,MIA,SVO,SU,Passengers,577
5,JFK,PEK,CA,Passengers,596
5,BOS,DUB,EI,Passengers,608
5,DFW,CUU,OO,Passengers,617
5,PHL,YUL,OH,Passengers,621
5,EWR,BOM,AI,Passengers,623
5,EWR,DEL,AI,Passengers,626
5,LAX,HND,JL,Passengers,634
5,JFK,NRT,NH,Passengers,640
5,ORD,PVG,MU,Passengers,665
5,LAX,YVR,AC,Passengers,680
5,DFW,SJD,AA,Passengers,681
5,SJU,SDQ,B6,Passengers,684
5,SEA,TPE,BR,Passengers,746
5,FLL,SAP,NK,Passengers,791
5,DFW,DGO,MQ,Passengers,808
5,LAX,SIN,SQ,Passengers,817
5,ORD,TPE,BR,Passengers,842
5,FLL,MDE,NK,Passengers,860
5,LAX,PEK,CA,Passengers,869
5,IAH,SAP,UA,Passengers,872
5,JFK,YYZ,9E,Passengers,884
5,PHL,YYZ,PT,Passengers,894
5,IAH,MEX,5D,Passengers,950
5,IAD,DEL,AI,Passengers,956
5,LAX,TPE,CI,Passengers,960
5,EWR,ADD,ET,Passengers,989
5,IAD,JED,SV,Passengers,998
5,ORD,AMS,KL,Passengers,1025
5,JFK,DUB,EI,Passengers,1038
5,LAX,SJD,AS,Passengers,1043
5,MIA,CUN,AA,Passengers,1056
5,ORD,DUB,EI,Passengers,1073
5,CLT,YUL,OH,Passengers,1074
5,FLL,KIN,B6,Passengers,1103
5,JFK,TPE,BR,Passengers,1125
5,LAX,JED,SV,Passengers,1182
5,IAH,UIO,UA,Passengers,1200
5,DFW,SLP,YV,Passengers,1223
5,IAH,TGU,UA,Passengers,1244
5,IAH,MTY,YV,Passengers,1273
5,JFK,MEX,AM,Passengers,1284
5,IAD,LHR,BA,Passengers,1287
5,JFK,DEL,AI,Passengers,1287
5,EWR,AMS,UA,Passengers,1322
5,ATL,CDG,AF,Passengers,1324
5,EWR,ZRH,LX,Passengers,1343
5,DFW,MTY,MQ,Passengers,1402
5,SFO,DEL,AI,Passengers,1405
5,LAX,XMN,MF,Passengers,1432
5,DFW,CUN,AA,Passengers,1442
5,DTW,YYZ,DL,Passengers,1443
5,SFO,TPE,BR,Passengers,1446
5,FLL,BOG,NK,Passengers,1470
5,ORD,AMM,RJ,Passengers,1541
5,DFW,YVR,AA,Passengers,1576
5,LAX,TPE,BR,Passengers,1579
5,SEA,HND,DL,Passengers,1614
5,DFW,QRO,MQ,Passengers,1653
5,MIA,BOG,VH,Passengers,1743
5,BOS,LHR,BA,Passengers,1808
5,DFW,YYC,MQ,Passengers,1871
5,DFW,MLM,YV,Passengers,1878
5,CLT,YYZ,OH,Passengers,1913
5,DFW,AGU,MQ,Passengers,1914
5,JFK,PVG,MU,Passengers,1914
5,IAH,BJX,YV,Passengers,1928
5,IAH,GUA,UA,Passengers,1965
5,LAX,CDG,AF,Passengers,1974
5,DFW,PVR,AA,Passengers,1997
5,IAD,RUH,SV,Passengers,2093
5,EWR,LHR,UA,Passengers,2094
5,LAX,PVR,AS,Passengers,2094
5,DFW,NRT,AA,Passengers,2144
5,ORD,YYZ,OO,Passengers,2167
5,LAX,MEX,AM,Passengers,2189
5,ATL,AMS,KL,Passengers,2191
5,EWR,FRA,LH,Passengers,2195
5,ORD,LHR,BA,Passengers,2197
5,ORD,LHR,UA,Passengers,2202
5,JFK,SVO,SU,Passengers,2203
